symbol,name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AAAP,Advanced Accelerator Applications S.A.,29.47,$1.27B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
AAL,"American Airlines Group, Inc.",45.75,$23.7B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,3.7557,$76.67M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aame
AAOI,"Applied Optoelectronics, Inc.",23.395,$402.4M,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",32.7,$1.73B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AAPC,Atlantic Alliance Partnership Corp.,9.9,$102.84M,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/aapc
AAPL,Apple Inc.,109.49,$583.83B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AAWW,Atlas Air Worldwide Holdings,49.75,$1.24B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,56.86,$2.79B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
ABAC,"Aoxin Tianli Group, Inc.",3.2101,$25.64M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
ABAX,"ABAXIS, Inc.",51.14,$1.15B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABCB,Ameris Bancorp,44.45,$1.55B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
ABCD,"Cambium Learning Group, Inc.",4.81,$221.37M,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd
ABCO,The Advisory Board Company,32.5,$1.3B,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco
ABDC,Alcentra Capital Corp.,11.52,$155.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ABEO,Abeona Therapeutics Inc.,6.2,$247.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,3.26,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,3.31,$85.25M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABIO,"ARCA biopharma, Inc.",2.4,$21.8M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",107.39,$4.66B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABTL,Autobytel Inc.,14.06,$154.13M,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ABTX,"Allegiance Bancshares, Inc.",30.8,$397.48M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,2.7,$148.07M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus
ABY,Atlantica Yield plc,17.8,$1.78B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
ACAD,ACADIA Pharmaceuticals Inc.,26.48,$3.21B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACAS,"American Capital, Ltd.",17.33,$3.75B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
ACAT,Arctic Cat Inc.,15.53,$202.63M,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat
ACBI,"Atlantic Capital Bancshares, Inc.",16.3,$407.83M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acbi
ACET,Aceto Corporation,20.195,$606.89M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
ACFC,Atlantic Coast Financial Corporation,6.99,$108.41M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/acfc
ACGL,Arch Capital Group Ltd.,83.3,$10.22B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACGLP,Arch Capital Group Ltd.,21.32,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acglp
ACHC,"Acadia Healthcare Company, Inc.",38.08,$3.33B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACHN,"Achillion Pharmaceuticals, Inc.",3.97,$542.62M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIA,"Acacia Communications, Inc.",65.37,$2.45B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACIU,AC Immune SA,11.58,$641.49M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",18.04,$2.12B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",12.8,$375.91M,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
ACNB,ACNB Corporation,30.95,$187.59M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",20.25,$933.81M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACRS,"Aclaris Therapeutics, Inc.",29.01,$755.71M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",2.85,$129.2M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACSF,"American Capital Senior Floating, Ltd.",11.7,$117M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
ACST,"Acasti Pharma, Inc.",1.37,$14.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
ACTA,Actua Corporation,13.6,$536.89M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACTG,Acacia Research Corporation,6.8,$343.15M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACTS,"Actions Semiconductor Co., Ltd.",2.1274,$94.24M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACTX,Global X Guru Activist ETF,14.0201,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/actx
ACUR,"Acura Pharmaceuticals, Inc.",0.91,$10.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACWI,iShares MSCI ACWI Index Fund,58.29,$5.65B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,39.74,$1.98B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx
ACXM,Acxiom Corporation,25.91,$2.01B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADAP,Adaptimmune Therapeutics plc,4.16,$294.47M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADBE,Adobe Systems Incorporated,99.51,$49.48B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADES,"Advanced Emissions Solutions, Inc.",9.18,$201.98M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
ADHD,Alcobra Ltd.,1.85,$50.99M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ADI,"Analog Devices, Inc.",69.01,$21.27B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ADMA,ADMA Biologics Inc,5.41,$69.72M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,2.85,$61.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",14.55,$319.84M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADP,"Automatic Data Processing, Inc.",95.77,$43.21B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
ADRA,BLDRS Asia 50 ADR Index Fund,27.6896,$20.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,19.39,$56.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,32.45,$120.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",10.55,$708.77M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
ADRU,BLDRS Europe 100 ADR Index Fund,18.6213,$13.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
ADSK,"Autodesk, Inc.",69.22,$15.36B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ADTN,"ADTRAN, Inc.",20.6,$997M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,33.8,$387.47M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",2.8,$116.81M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
ADXS,"Advaxis, Inc.",8.02,$319.55M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",4.272,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
AEGN,Aegion Corp,24.24,$823.26M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,3.05,$49.89M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",52.1,$2.07B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AEMD,"Aethlon Medical, Inc.",4.58,$35.38M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
AEPI,AEP Industries Inc.,116.15,$593.97M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",36.8,$1.23B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AETI,"American Electric Technologies, Inc.",1.8,$15M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AEY,"ADDvantage Technologies Group, Inc.",1.76,$17.84M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
AEZS,AEterna Zentaris Inc.,3.4,$39.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AFAM,Almost Family Inc,40.8,$423.23M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
AFH,"Atlas Financial Holdings, Inc.",17.1,$205.6M,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afh
AFMD,Affimed N.V.,1.95,$64.86M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AFSI,"AmTrust Financial Services, Inc.",25.82,$4.4B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AGEN,Agenus Inc.,3.95,$344.15M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",2.86,$142.78M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.1,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
AGII,"Argo Group International Holdings, Ltd.",63.3,$1.9B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",24.8,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
AGIO,"Agios Pharmaceuticals, Inc.",58.06,$2.44B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",5.7,$76.56M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AGNC,AGNC Investment Corp.,18.09,$5.99B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.05,$8.68B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,25.08,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,43.9362,$13.18M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnd
AGRX,"Agile Therapeutics, Inc.",6.75,$194.11M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGTC,Applied Genetic Technologies Corporation,8.7,$157.19M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
AGYS,"Agilysys, Inc.",10.01,$234.22M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,48.125,$24.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agzd
AHGP,"Alliance Holdings GP, L.P.",28.36,$1.7B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AHPAU,Avista Healthcare Public Acquisition Corp.,10.25,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/ahpau
AHPI,"Allied Healthcare Products, Inc.",1.21,$9.71M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AIA,iShares Asia 50 ETF,48.23,$347.26M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aia
AIMC,Altra Industrial Motion Corp.,35.375,$915.66M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AIMT,"Aimmune Therapeutics, Inc.",22.02,$933.27M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AINV,Apollo Investment Corporation,6.04,$1.33B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AIQ,"Alliance HealthCare Services, Inc.",7.5,$80.54M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AIRG,"Airgain, Inc.",19.06,$144.47M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AIRM,Air Methods Corporation,32.95,$1.2B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRR,First Trust RBA American Industrial Renaissance ETF,23.1,$79.7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airr
AIRT,"Air T, Inc.",18.9,$38.61M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
AIXG,Aixtron SE,4.02,$448.8M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",63.51,$11.01B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKAO,"Achaogen, Inc.",5.88,$161.41M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
AKBA,"Akebia Therapeutics, Inc.",8.48,$324.99M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,2.05,$11.18M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",19.99,$2.5B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTX,Akari Therapeutics Plc,6.92,$81.5M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
ALBO,"Albireo Pharma, Inc.",25.45,$160.2M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ALCO,"Alico, Inc.",27.3,$227.01M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALDR,"Alder BioPharmaceuticals, Inc.",22.65,$1.14B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",5.05,$63.51M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALGN,"Align Technology, Inc.",92.54,$7.37B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALGT,Allegiant Travel Company,160.6,$2.66B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALIM,"Alimera Sciences, Inc.",1.06,$68.75M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",4.3,$148.36M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,54.89,$8.34B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALLT,Allot Communications Ltd.,4.55,$152.69M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
ALNY,"Alnylam Pharmaceuticals, Inc.",41.58,$3.57B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
ALOG,Analogic Corporation,92.3,$1.15B,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ALOT,"AstroNova, Inc.",12.982,$96.91M,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ALQA,"Alliqua BioMedical, Inc.",0.64,$18.99M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALRM,"Alarm.com Holdings, Inc.",28.86,$1.33B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.55,$79.61M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALTY,Global X SuperDividend Alternatives ETF,14.5793,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alty
ALXN,"Alexion Pharmaceuticals, Inc.",122.01,$27.36B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
AMAG,"AMAG Pharmaceuticals, Inc.",31.9,$1.09B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMAT,"Applied Materials, Inc.",30.1,$32.53B,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMBA,"Ambarella, Inc.",61.39,$2.01B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMBC,"Ambac Financial Group, Inc.",25.205,$1.14B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",13.7,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMCC,Applied Micro Circuits Corporation,8.3,$727.42M,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AMCN,AirMedia Group Inc,2.63,$163.58M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AMCX,AMC Networks Inc.,55.24,$3.89B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMD,"Advanced Micro Devices, Inc.",8.39,$7.78B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
AMDA,Amedica Corporation,0.642,$16.95M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,39.49,$1.33B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
AMEH,"Apollo Medical Holdings, Inc.",3.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ameh
AMGN,Amgen Inc.,142.39,$105.93B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
AMKR,"Amkor Technology, Inc.",10.7,$2.54B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMMA,"Alliance MMA, Inc.",3.96,$35.2M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
AMNB,"American National Bankshares, Inc.",30.95,$266.65M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
AMOT,"Allied Motion Technologies, Inc.",21.46,$201.11M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
AMOV,"America Movil, S.A.B. de C.V.",11.72,$38.42B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMPH,"Amphastar Pharmaceuticals, Inc.",19.67,$905.29M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
AMRB,American River Bankshares,14.17,$94.32M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
